hjd,camera,mag,mag_err,flux,flux_err
2457251.76474,bf,14.891,0.03748,4.24,0.146
2458037.77341,bf,14.903,0.03777,4.196,0.146
2457764.56402,bf,14.908,0.03789,4.175,0.146
2457365.66519,bf,14.779,0.03491,4.702,0.151
2456789.89741,bf,14.742,0.03412,4.864,0.153
2458385.69384,bf,14.814,0.03568,4.553,0.149
2456954.6223,bf,14.624,0.03182,5.425,0.159
2457567.87858,bf,14.757,0.03444,4.798,0.152
2457593.82661,bf,14.89,0.03745,4.244,0.146
2457758.58446,bf,14.637,0.03205,5.36,0.158
2458340.73721,bf,14.803,0.03543,4.597,0.15
2457752.56823,bf,14.694,0.03315,5.083,0.155
2456811.87083,bf,14.655,0.03239,5.271,0.157
2457370.65771,bf,14.676,0.0328,5.171,0.156
2457337.73332,bf,14.691,0.03309,5.101,0.155
2457529.89014,bf,14.657,0.03243,5.26,0.157
2457981.85764,bf,14.669,0.03266,5.201,0.156
2457204.76558,bf,14.73,0.03387,4.919,0.153
2458094.58341,bf,14.795,0.03526,4.633,0.15
2457169.87224,bf,14.583,0.03108,5.631,0.161
2458023.5327,bf,14.713,0.03353,4.997,0.154
2457186.83068,bf,14.65,0.0323,5.298,0.157
2457317.80649,bf,14.668,0.03264,5.207,0.156
2457612.67566,bf,14.652,0.03234,5.286,0.157
2457015.59138,bf,14.704,0.03335,5.037,0.155
2457395.57571,bf,14.713,0.03353,4.997,0.154
2457534.88542,bf,14.76,0.0345,4.784,0.152
2456935.85618,bf,14.723,0.03373,4.953,0.154
2456904.7202,bf,14.648,0.03226,5.305,0.157
2457294.67705,bf,14.746,0.03421,4.849,0.153
2457708.5817,bf,14.756,0.03442,4.802,0.152
2457339.59992,bf,14.682,0.03291,5.144,0.156
2457545.84395,bf,14.639,0.03209,5.348,0.158
2457555.83006,bf,14.68,0.03287,5.152,0.156
2457523.89956,bf,14.9,0.0377,4.207,0.146
2456971.60439,bf,14.707,0.03341,5.025,0.154
2457666.6211,bf,14.784,0.03502,4.68,0.151
2457656.76201,bf,14.734,0.03396,4.902,0.153
2458375.64558,bf,14.788,0.0351,4.663,0.151
2457968.68986,bf,14.632,0.03196,5.384,0.158
2457293.71434,bf,14.857,0.03667,4.376,0.148
2457686.7962,bf,14.586,0.03113,5.618,0.161
2457756.5924,bf,14.758,0.03446,4.793,0.152
2458103.56047,bf,14.893,0.03753,4.235,0.146
2457910.84283,bf,14.684,0.03295,5.133,0.156
2457979.73955,bf,14.61,0.03156,5.493,0.159
2457915.82893,bf,14.813,0.03566,4.557,0.149
2458034.53897,bf,14.713,0.03353,4.995,0.154
2457768.54744,bf,14.741,0.0341,4.87,0.153
2458367.63486,bf,14.646,0.03222,5.313,0.158
2458109.6185,bf,14.607,0.03151,5.507,0.16
2457762.57199,bf,14.828,0.036,4.495,0.149
2457683.80501,bf,14.818,0.03577,4.535,0.149
2457268.59842,bf,14.644,0.03219,5.325,0.158
2456953.62521,bf,14.731,0.03389,4.914,0.153
2456978.58721,bf,14.756,0.03442,4.805,0.152
2457957.90528,bf,14.669,0.03266,5.205,0.156
2457681.79754,bf,14.749,0.03427,4.833,0.152
2457568.87086,bf,14.769,0.03469,4.747,0.152
2458312.80942,bf,14.657,0.03243,5.263,0.157
2458041.60674,bf,14.802,0.03541,4.603,0.15
2457937.89393,bf,14.744,0.03416,4.854,0.153
2457726.56272,bf,14.842,0.03632,4.438,0.148
2457983.70991,bf,14.909,0.03792,4.171,0.146
2458338.86139,bf,14.684,0.03295,5.131,0.156
2457224.73468,bf,14.733,0.03394,4.906,0.153
2458334.84147,bf,14.779,0.03491,4.7,0.151
2458331.77526,bf,14.635,0.03202,5.371,0.158
2457546.83925,bf,14.684,0.03295,5.132,0.156
2456924.67612,bf,14.754,0.03437,4.81,0.152
2457292.787,bf,14.872,0.03702,4.315,0.147
